id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
-04s-hMjTgI,judged,Towpher,5,0,0,0,no,none
-0vVf6C-ikQ,judged,MastaFeat,5,0,0,0,no,none
-1rRcKsjX_M,judged,Invictus,7,0,0,0,no,none
-Aqn-8-VGMI,judged,Cool Kidd,4,1,0,0,no,none
-JXx_n60obA,promo,NA,NA,NA,NA,NA,NA,none
-LKFyIMoZ7w,judged,Fangs,3,2,0,0,no,none
-NDBdz_Y2oQ,judged,Pistolero,4,1,0,0,no,none
-OV0BU4JZLI,judged,J-Blaque,7,3,0,0,no,none
-Peab0i7NUM,judged,SinCity,4,1,0,0,no,none
-QKKtOnXYFA,judged,Rudic,4,1,0,0,no,none
-VkCoPH4HMo,judged,Tatz Maven,4,1,0,0,no,none
-kbb9YSmDu4,judged,JDee,5,0,0,0,no,none
-mQxq66Ycnw,judged,Mhel,2,1,0,0,no,none
-omScjxUAf4,judged,Invictus,5,0,0,0,no,none
-pDXe4AsDZ4,judged,Kregga,5,0,0,0,no,none
02tOO0Lydhw,judged,Vitrum,3,2,0,0,no,none
07rjhuTjhUU,judged,Ban,4,3,0,0,no,none
08NeE3miVG8,judged,Nadnad,3,0,0,0,no,none
0ALUCCfv4hw,judged,M Zhayt,5,0,0,0,no,Old school freestyle battle (with a beat) and its judged; a battle fell threw and this was the replacement
0BIGq728WGk,promo,NA,NA,NA,NA,NA,NA,none
0Cf65PjHm84,judged,Batas,7,0,0,0,no,none
0DVdi9FC2n8,judged,R-Zone,4,1,0,0,no,none
0QXZ4Ujh4Ys,judged,SirDeo,3,2,0,0,no,none
0R8EkQKxA8Y,judged,Lhipkram,5,0,0,0,no,none
0Vuvh7PIjpg,judged,Bonet,5,0,0,0,no,none
0XZ24-yO8Zk,judged,Zaito,5,0,0,0,no,none
0Xp8NbyXrWY,judged,SlockOne,5,0,0,0,no,none
0_C0HO-EXLY,judged,Goriong Talas,5,0,0,0,no,none
0bjh99QQspY,judged,Yuniko,5,0,0,0,no,none
0d8GMq5a0y0,judged,J-King,5,0,0,0,no,none
0iBWRK2loOE,judged,Plaridhel,3,2,0,0,no,Judges' decision overturned by Anygma in favor of Plaridhel
0tJXmIsKkBE,judged,GL,5,0,0,0,no,none
0vJSKdQxlZw,judged,Elbiz,3,2,0,0,no,none
0xbnNthStkU,judged,One Lie Ace,5,0,0,0,no,none
0zOguB9zokA,judged,Ran,5,0,0,0,no,none
14t3uPL08vU,judged,Thike,4,1,0,0,no,none
15FnwiXTplY,judged,Range,4,1,0,0,no,none
1EvA88qE9lU,judged,OnliSon,4,1,0,0,no,none
1GtRT0z4iyg,judged,Mhot,5,0,0,0,no,none
1H3j68DfUUY,judged,Steven,5,0,0,0,no,none
1HBQBkEhofE,judged,Towpher,4,1,0,0,no,none
1HbIj0o29hc,judged,M Zhayt,5,0,0,0,no,none
1I6Ed9IWUaQ,judged,Mhot,3,0,0,0,no,none
1KrvZoGoNE4,judged,Kenzer,5,0,0,0,no,none
1LzOO-vrl_8,judged,Frooz,3,2,0,0,no,none
1YLbAs1Kgsk,judged,GL,4,3,0,0,no,none
1YqlZqI3ueI,judged,Class G,3,2,0,0,no,none
1ZTZoVklqCk,judged,Plazma,5,0,0,0,no,none
1bBLeIRdlO4,judged,GL,3,2,0,0,no,none
1cE6llbgX0I,judged,M Zhayt,3,2,0,0,no,none
1d44YlxPrQA,judged,Illtimate,5,0,0,0,no,none
1e3vj4Usj34,judged,Zaito,3,2,0,0,no,none
1f75SGY2CHQ,judged,C-Quence,3,2,0,0,no,none
1fJpNkR6zcw,judged,Flict-G,5,0,0,0,no,none
1ilAmoIxtaA,judged,Climax,3,0,0,0,no,none
1k6hPM09Qac,judged,Katana,4,1,0,0,no,none
1nzfB0KCKN4,judged,Invictus,7,0,0,0,no,none
1odPyhj--DE,judged,M Zhayt,5,0,0,0,no,none
1x2LTkW2768,judged,Poison13,7,0,0,0,no,none
1xdwg-Y170U,judged,Asser,3,2,0,0,no,none
1xv3-I5Rmc4,judged,Fangs,4,1,0,0,no,none
1zlZiX9IOIY,judged,AKT,5,0,0,0,no,none
23agp8pFHEM,judged,MastaFeat,4,1,0,0,no,none
2Fwm1XD1u30,judged,Vitrum,3,2,0,0,no,none
2NLEQ3bzyC0,promo,NA,NA,NA,NA,NA,NA,none
2Rmxrj9ukp0,judged,M Zhayt,5,0,0,0,no,none
2YZeen-wrTU,judged,El Quiel,4,1,0,0,no,none
2Z5tbTdxbn8,judged,Ban,5,0,0,0,no,none
2ewn5ouwwpM,judged,Gustav,3,0,0,0,no,none
2fjm0a3xgBk,judged,Malupit,3,0,0,0,no,none
2iPWsmUjyTI,judged,Kris Delano,4,1,0,0,no,none
2ijVNRFIVfM,judged,Romano,7,0,0,0,no,none
2jpJQTkLvUQ,judged,Apekz,4,1,0,0,no,none
2mz8Nn81Olw,judged,Asser,7,0,0,0,no,none
2nM5-LeGZKA,judged,Blackleaf,5,0,0,0,no,none
2qp3PpMBv-o,judged,AKT,3,2,0,0,no,none
2vg1zFN0dGc,judged,Asser,4,1,0,0,no,none
2yTEwBzV62M,judged,K-Ram,5,0,0,0,no,none
37O6AE4DWN8,promo,NA,NA,NA,NA,NA,NA,none
388iaJryNbA,judged,G-Clown,5,0,0,0,no,none
3EpABZlJ444,judged,Sinio,4,0,0,0,no,One judge voted tie
3JidI-4GQ0E,judged,MastaFeat,3,2,0,0,no,none
3TGFI8zob8s,judged,Wrathsol,5,0,0,0,no,none
3Vwg12bn99E,judged,Sak Maestro,5,0,0,0,no,none
3YY0xcGIaYc,judged,Zend Luke,4,1,0,0,no,none
3_zsDmT7iJ4,judged,GL,5,0,0,0,no,none
