alias,canonical
1ce Water,J-Blaque
2Khelle,2khelle
Akt,AKT
B.I.L.L.Y.,Prosecutor Billy
Carlito,Sayadd
Cnine,CNine
Crhyme,CRhyme
Cripli,CripLi
D.O.C. Pau,Doc Pau
Daddie Joe D,Daddy Joe D
DaddyJoe D,Daddy Joe D
Damnsa,Damsa
Deadpan,Shehyee
DOC Pau,Doc Pau
Flip,Flipzydot1
Freak Sanchez,Tipsy D
Frooztreitted Hoemmizyd,Frooz
GameBoy,Gameboy
Ghostly,Goriong Talas
GusTav,Gustav
Hallucinate,Kris Delano
Hearty Tha Bomb,Hearty
Ice Rocks,Saint Ice
J Skeelz,J-Skeelz
Japormz,Jhapormz
JayTee,Jaytee
Jdee,JDee
joshG,Josh G
JoshG,Josh G
Juan Lazy,Juan Tamad
Lil John,LilJohn
Lil Strocks,LilStrocks
M-Zhayt,M Zhayt
Mac-T,Mac T
Malupet,Malupit
Markong Bungo,Poison13
Marshall,Marshall Bonifacio
Mastafeat,MastaFeat
Mel Christ,Melchrist
MelChrist,Melchrist
Mia Sonin,Batang Rebelde
Nerdskillz,Nerd Skillz
Nico,AKT
NIkki,Nikki
No. 144,Emar Industriya
One3D,One3d
Pareng Elbiz,Elbiz
Poison 13,Poison13
R Zone,R-Zone
RanieBoy,Ranieboy
Righteous-One,Righteous One
Righteous1,Righteous One
Sinagtala,GL
Single Shot,SingleShot
sKarm,Skarm
Spade,Goriong Talas
Stiffler,Stiff
Tim aka Cleave Heckler,Tim
W-Beat,W Beat
WBeat,W Beat
Young One,YoungOne
Eveready,M Zhayt
