matchup,event_name,event_description,video_id
Anygma vs Dirtbag Dan,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",5BiDPaDZHzo
Target vs Datu,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",aieEdqr4xsM
sKarm vs Luck Loosh,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",66oaaIWgJec
Dello vs Kial,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",BmOn5Vgbh_I
Plazma vs Hallucinate,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",RY9m-uvCRv4
JedLi vs Blasian,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",m4ma55OJfPA
Josh G vs Fuego,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",aoOpkS5TxOQ
Shehyee vs BLKD,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",gWS3he5USoY
SinCity vs NothingElse,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",g1K-6S2irVo
Harlem vs Dhictah,Tectonics,"FlipTop presents: Tectonics @ Katips Bar and Grillery, Katipunan Extension, Quezon City, Philippines. Dec. 4, 2010. Filipino and English Conference Battles.",-pLlZ38uGTQ
SinCity vs Tim,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",c52WK4bfyM0
Lil Coli vs Caliber,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",SA6IObK6n8w
Kahir vs Righteous-One,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",PRvfe_bUCiI
Lil Sisa vs Hearty Tha Bomb,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",bP_NEGKsMHE
Slimer vs Bizzy,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",YYWDRruGRdU
Shehyee vs Andy G,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",hgjFFpGjm8U
BLKD vs Mel Christ,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",QsQkNDepZBU
Daddie Joe D vs Negatibo,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",IOBo4xjOFHc
Dalmacio Armas vs Kritiko,Sabong Sumulong,"FlipTop presents: Sabong Sumulong @ Texas Cockpit Arena, Marikina City (border Antipolo), Philippines. Nov. 12, 2010. Filipino and English Conference Battles.",KJyVEnsp3Qw
KJah vs Kamandag,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",tugQ1MVgIco
Aklas vs Lirikal,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",Tb5x9JfFXWc
Kahir vs Toma Hawk,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",91LI7YJhoWE
Libs vs NellyBoy,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",14J2y8M6khE
Daddie Joe D vs Asero,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",5EZmvzYZFQg
Sayadd vs Nico,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",XeN1B_Iq3sM
BLKD vs 2Khelle,Gapo de Gulat,"FlipTop presents: Gapo de Gulat @ Music Jam, Olongapo City, Philippines. Oct. 29, 2010. Filipino and English Conference Battles.",zX7cZsU9DAE
Spade/Redd Blot vs Harlem/Juan Lazy,"2 on 2 (Tanza, Cavite)","FlipTop: 2 on 2 @ Tanza, Cavite, Philippines. Oct. 16, 2010. Filipino Conference Battle.",hDwg5rWmAO4
sKarm vs SinCity,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",eZ12YeQQrWY
sKarm vs SinCity,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",FGD1CrRbZdU
Damsa vs Smugglaz,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",p6K3R-siWNQ
Abra vs Zaito,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",l4OwcE3-dBc
Fuego vs Hallucinate,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",HsF7_8DNMYA
Juan Tamad vs Flict-G,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",yMHt2591Sns
BLKD vs Sayadd,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",tAdGCvvcuSE
Protege vs RBTO,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",oOL9jzuO5pU
JedLi vs Plazma,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",af_zZbz54vo
One3d vs Libs,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",_fo50Wh4Neg
Aklas vs Kahir,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",V7o88-MmF9I
Apoc vs Verb,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",WWHa_Wp_yRc
Harlem vs Caliber,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",KcUSJTR-SsA
Apekz vs Andy G,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",9spsx70cwLk
Spade vs Redd Blot,Down N South,"FlipTop presents: Down N South @ Friday's Super Club, Las Pinas City, Philippines. Sept. 25, 2010. Filipino and English Conference Battles.",CZiwp4MdXZI
Zaito vs Silencer,Bwelta Balentong,"FlipTop presents: Bwelta Balentong @ Freedom Bar, Quezon City, Philippines. July 17, 2010. Filipino Conference Battles.",abu-X3HuLDQ
Abra vs Harlem,Bwelta Balentong,"FlipTop presents: Bwelta Balentong @ Freedom Bar, Quezon City, Philippines. July 17, 2010. Filipino Conference Battles.",a1VJZulfzUE
Apekz vs Daddy Joe D,Bwelta Balentong,"FlipTop presents: Bwelta Balentong @ Freedom Bar, Quezon City, Philippines. July 17, 2010. Filipino Conference Battles.",besCYPi5FOw
Shehyee vs Juan Tamad,Bwelta Balentong,"FlipTop presents: Bwelta Balentong @ Freedom Bar, Quezon City, Philippines. July 17, 2010. Filipino Conference Battles.",iZ1NGi-DtbM
Dhictah vs Fuego,Bwelta Balentong,"FlipTop presents: Bwelta Balentong @ Freedom Bar, Quezon City, Philippines. July 17, 2010. Filipino Conference Battles.",OMumUHqPkLk
Spade vs Kahir,Process of Illumination,"FlipTop presents: Process of Illumination @ Freedom Bar, Anonas, Quezon City, Philippines. June 25, 2010. Filipino Conference Battles, Freestyle Tryouts.",t_phoie1Lsk
Dello vs Target,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",0eJm70U0TiE
Dello vs Target,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",1nu-djugtrM
sKarm vs JoshG,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",2YY0cWUulaE
sKarm vs JoshG,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",mpGgLaZXKpI
Loonie vs Zaito,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",2Bp7TcNO-CY
Loonie vs Zaito,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",VTmNEB6AogU
NothingElse vs Abra,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",mG9m-4IQ1cU
NothingElse vs Abra,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",5HzADOge5TA
Batas vs Fuego,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",Tycr21-NO5s
Batas vs Fuego,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",c4W2A3GdtzM
Juan Tamad vs Silencer,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",35dwmikdYGA
Juan Tamad vs Silencer,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",ghTFZLXAHQw
Ghandi vs Sev,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",EynkMnr4pfc
Plazma vs Tim,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",esPXg5uQIgI
DaddyJoe D vs Shehyee,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",643fEjk8ApA
Apekz vs Snatch,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",AlMMBKKEqls
Verb vs Mike Makata,Ahon,"FlipTop presents: Ahon @ Guerrilla Radio, Pasig City, Philippines. May 15, 2010. Filipino and English Conference Battles.",oiaPWXuhLeY
Dello vs Batas,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",uBPRuWTbphw
Dello vs Batas,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",GSpqxOLbchY
Loonie vs Gap,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",sm_XzM8EvyI
Loonie vs Gap,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",nnkf1YVfFq4
Cameltoe vs Dhictah,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",g_5D-FOK75Y
Target vs Luke,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",Y4l-HpCaHmQ
Plazma vs Apoc,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",qQYa5kkggXg
Tim vs DimeBag Daryl,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",rGMcIGfnTL4
Apekz vs Harlem,Second Sight,"FlipTop presents: Second Sight @ B-Side, Makati, Philippines, March 20, 2010. Filipino and English Conference Battles.",HYXGRNluj-o
Datu vs Cameltoe,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",RniJ4PflyMI
Datu vs Cameltoe,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",ca9h4YBFr68
Fuego vs Protege,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",DFiv3v33Be8
Fuego vs Protege,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",kNdpJws4YkE
JedLi vs Apoc,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",2A84cY0Ehu0
Batas vs Abra,Grain Assault,"FlipTop presents: Grain Assault @ Quantum Cafe, Makati City, Philippines, Feb. 6, 2010. Filipino and English Conference Battles.",IyH87QWShus
Shehyee vs Nico,FlipTop @ Ilocos Norte,"FlipTop Battle League presents: FlipTop @ Ilocos Norte, Centennial Arena, Laoag, Ilocos Norte, Philippines. Dec. 28, 2011. Filipino Conference Battles.",hVz-9lSA6_Q
Spade vs Aklas,FlipTop @ Ilocos Norte,"FlipTop Battle League presents: FlipTop @ Ilocos Norte, Centennial Arena, Laoag, Ilocos Norte, Philippines. Dec. 28, 2011. Filipino Conference Battles.",VnD4mz2QUGs
Zaito vs Sayadd,FlipTop @ Ilocos Norte,"FlipTop Battle League presents: FlipTop @ Ilocos Norte, Centennial Arena, Laoag, Ilocos Norte, Philippines. Dec. 28, 2011. Filipino Conference Battles.",pExK-YWNDI0
Target vs Daddie Joe D,FlipTop @ Ilocos Norte,"FlipTop Battle League presents: FlipTop @ Ilocos Norte, Centennial Arena, Laoag, Ilocos Norte, Philippines. Dec. 28, 2011. Filipino Conference Battles.",QW3Y5iqzLCk
Melchrist vs Notorious,FlipTop @ Ilocos Norte,"FlipTop Battle League presents: FlipTop @ Ilocos Norte, Centennial Arena, Laoag, Ilocos Norte, Philippines. Dec. 28, 2011. Filipino Conference Battles.",ei_CiasYoMA
Elias vs Icaruz,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",QtNa6harpTE
Papew vs Rapido,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",G9099LBbwhI
Spade vs Melchrist,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",TBiYd5z2Rxg
Yelshawn vs Krusa,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",qUpS-oCRP_w
Smugglaz vs Apekz,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",kuyv83sx5F4
Batang Rebelde vs Jonas,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",MdyybZ9wfuA
Andy G vs Daddie Joe D,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",nxOnN-J7CTM
BLKD vs Krack,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",TfCX9xRMgXw
G-Mar vs Mizayld,"Bara Ko, Barako","FlipTop Calabarzon Division presents: Bara ko, Barako, Naic Covered Court, Naic, Cavite, Philippines. Dec. 17, 2011. Filipino Conference Battles.",7NnO4MUiGLA
Gin vs Tipsy D,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",KaguQeHSnO0
B.I.L.L.Y. vs SingleShot,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",c54XD8GFi_o
Krack vs Japormz,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",X5kpi4Ih-a4
G-Spot vs Nico,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",N_LHmFYW47c
joshG vs Durante,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",cxQGj6YFX-o
Dello vs BLKD,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",X8om3U5HecI
Sinio vs Maxford,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",oR0-Hl0hdt8
Loonie vs BLKD,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",DZMCYBYnvqA
Shehyee vs Silencer,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",9zMOncJGHlY
JedLi vs SinCity,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",sWZIAQgiS0k
Dello vs Loonie,Ahon 3,"FlipTop Metro Manila Division presents: Ahon 3, San Juan Gym, San Juan City, Metro Manila, Philippines. Dec. 10, 2011. Filipino and English Conference Battles.",hs_b_vaXa10
Damsa vs 2khelle,Gapo de Gulat 2,"FlipTop Central Luzon presents: Gapo de Gulat 2 @ Jax Comedy Bar, Magsaysay, Olongapo City, Zambales, Philippines. November 5, 2011. Filipino Conference Battles.",sdQtoI1GwoU
