event_name,event_date,source_url
Ahon 11,2020-12-26,https://versetracker.com/events/fliptop-ahon-11
Ahon 12,2021-12-08,https://versetracker.com/events/fliptop-ahon-12
Bwelta Balentong 7,2020-10-30,https://versetracker.com/events/fliptop-bwelta-balentong-7
Bwelta Balentong 8,2021-06-15,https://versetracker.com/events/fliptop-bwelta-balentong-8
Grain Assault 11,2021-02-06,https://versetracker.com/events/fliptop-grain-assault-11
Second Sight 8,2020-07-26,https://versetracker.com/events/fliptop-second-sight-8
Second Sight 9,2021-03-27,https://versetracker.com/events/fliptop-second-sight-9
Unibersikulo 10,2021-11-18,https://versetracker.com/events/fliptop-unibersikulo-10
Unibersikulo 8,2020-09-01,https://versetracker.com/events/fliptop-unibersikulo-8
Unibersikulo 9,2021-09-01,https://versetracker.com/events/fliptop-unibersikulo-9
Zoning 10,2020-09-30,https://versetracker.com/events/fliptop-zoning-10
Zoning 11,2021-05-13,https://versetracker.com/events/fliptop-zoning-11
Zoning 12,2021-07-11,https://versetracker.com/events/fliptop-zoning-12
Zoning 13,2021-10-11,https://versetracker.com/events/fliptop-zoning-13
